33		1.3136
6		1.1828
64		1.1828
24		1.1664
38		1.1000
10		1.0777
1		1.0707
76		1.0535
78		1.0406
31		0.9817
2		0.9649
36		0.9469
40		0.9277
12		0.9277
67		0.8605
72		0.8605
39		0.8605
21		0.8340
71		0.8340
70		0.8340
26		0.8340
54		0.8340
74		0.8047
25		0.8047
66		0.8047
43		0.8047
32		0.7719
28		0.7347
57		0.7347
22		0.7347
69		0.6918
42		0.6918
13		0.6918
8		0.6918
73		0.6918
55		0.6410
46		0.6410
29		0.6410
15		0.6410
60		0.6410
56		0.5789
44		0.4988
27		0.4988
65		0.4988
9		0.4988
58		0.4988
68		0.3859
49		0.3859
79		0.3859
23		0.3859
51		0.3859
47		0.3859
19		0.3859
63		0.1930
18		0.1930
61		0.1930
14		0.1930
53		0.1930
52		0.1930
